block_size,target_tps,maximum_cycle_ms,t_verify_p50_ms,t_verify_p95_ms,budget_draft_commit_p50_ms,budget_draft_commit_p95_ms,p50_status,p95_status
1,8,125.0,45.168,47.276699999049995,79.832,77.72330000095,positive,positive
1,10,100.0,45.168,47.276699999049995,54.832,52.723300000950005,positive,positive
1,15,66.66666666666667,45.168,47.276699999049995,21.498666666666672,19.389966667616676,positive,positive
1,20,50.0,45.168,47.276699999049995,4.832000000000001,2.7233000009500046,under-10-ms,under-10-ms
1,30,33.333333333333336,45.168,47.276699999049995,-11.834666666666664,-13.94336666571666,negative,negative
2,8,250.0,80.158499999,82.40790000185,169.84150000099999,167.59209999815,positive,positive
2,10,200.0,80.158499999,82.40790000185,119.841500001,117.59209999815,positive,positive
2,15,133.33333333333334,80.158499999,82.40790000185,53.17483333433334,50.92543333148335,positive,positive
2,20,100.0,80.158499999,82.40790000185,19.841500001,17.592099998150005,positive,positive
2,30,66.66666666666667,80.158499999,82.40790000185,-13.491833332333329,-15.741233335183324,negative,negative
4,8,500.0,117.3909999995,121.027049999,382.60900000050003,378.972950001,positive,positive
4,10,400.0,117.3909999995,121.027049999,282.60900000050003,278.972950001,positive,positive
4,15,266.6666666666667,117.3909999995,121.027049999,149.2756666671667,145.6396166676667,positive,positive
4,20,200.0,117.3909999995,121.027049999,82.6090000005,78.972950001,positive,positive
4,30,133.33333333333334,117.3909999995,121.027049999,15.942333333833346,12.306283334333344,positive,positive
6,8,750.0,145.8665,147.04195,604.1335,602.95805,positive,positive
6,10,600.0,145.8665,147.04195,454.1335,452.95804999999996,positive,positive
6,15,400.0,145.8665,147.04195,254.1335,252.95805,positive,positive
6,20,300.0,145.8665,147.04195,154.1335,152.95805,positive,positive
6,30,200.0,145.8665,147.04195,54.1335,52.958049999999986,positive,positive
8,8,1000.0,180.7039999995,181.95770000005,819.2960000005,818.04229999995,positive,positive
8,10,800.0,180.7039999995,181.95770000005,619.2960000005,618.04229999995,positive,positive
8,15,533.3333333333334,180.7039999995,181.95770000005,352.62933333383336,351.37563333328336,positive,positive
8,20,400.0,180.7039999995,181.95770000005,219.2960000005,218.04229999995,positive,positive
8,30,266.6666666666667,180.7039999995,181.95770000005,85.96266666716667,84.70896666661667,positive,positive
